"","DEPTH_BIN","OBS_YEAR","REEF_ZONE","SEC_NAME","SITE","SITE.AREA","Q10","QMed","Q90","QJuv","QJuv.D","Q10.D","QMed.D","Q90.D","TOTAL.D","QJuv.R","Q10.R","QMed.R","Q90.R"
"1","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00500",8.5,0,2,3,1,0.117647058823529,0,0.235294117647059,0.352941176470588,0.705882352941176,0.166666666666667,0,0.333333333333333,0.5
"2","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00509",12,2,18,2,4,0.333333333333333,0.166666666666667,1.5,0.166666666666667,2.16666666666667,0.153846153846154,0.0769230769230769,0.692307692307692,0.0769230769230769
"3","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00510",11,0,9,1,1,0.0909090909090909,0,0.818181818181818,0.0909090909090909,1,0.0909090909090909,0,0.818181818181818,0.0909090909090909
"4","Deep","2015","Forereef","SWA_SANCTUARY","SWA-00516",7.5,1,4,1,0,0,0.133333333333333,0.533333333333333,0.133333333333333,0.8,0,0.166666666666667,0.666666666666667,0.166666666666667
"5","Deep","2018","Forereef","SWA_OPEN","SWA-00793",5,2,8,1,0,0,0.4,1.6,0.2,2.2,0,0.181818181818182,0.727272727272727,0.0909090909090909
"6","Deep","2018","Forereef","SWA_SANCTUARY","SWA-00775",5,0,3,0,0,0,0,0.6,0,0.6,0,0,1,0
"7","Deep","2023","Forereef","SWA_SANCTUARY","SWA-00977",7.5,1,6,0,0,0,0.133333333333333,0.8,0,0.933333333333333,0,0.142857142857143,0.857142857142857,0
"8","Deep","2023","Forereef","SWA_SANCTUARY","SWA-00989",8.5,1,11,5,2,0.235294117647059,0.117647058823529,1.29411764705882,0.588235294117647,2.23529411764706,0.105263157894737,0.0526315789473684,0.578947368421053,0.263157894736842
"9","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00522",2.5,1,0,0,0,0,0.4,0,0,0.4,0,1,0,0
"10","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00530",3.5,0,3,0,0,0,0,0.857142857142857,0,0.857142857142857,0,0,1,0
"11","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00536",5,0,2,0,0,0,0,0.4,0,0.4,0,0,1,0
"12","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00541",2.5,0,1,0,0,0,0,0.4,0,0.4,0,0,1,0
"13","Mid","2015","Forereef","SWA_SANCTUARY","SWA-00545",10,0,4,1,0,0,0,0.4,0.1,0.5,0,0,0.8,0.2
